Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2015-10-29T00:00:00+00:00,,,,,Male,18-24,White - White British (W1),White,,Controlled drugs,,,
Person search,2015-10-29T00:00:00+00:00,,,,,Male,10-17,Mixed - Any other Mixed ethnic background (M9),,,Stolen goods,,,
Person search,2015-10-29T00:00:00+00:00,,,,,Male,over 34,Mixed - Any other Mixed ethnic background (M9),,,Stolen goods,,,
Person search,2015-10-29T00:00:00+00:00,,,,,Female,25-34,Mixed - Any other Mixed ethnic background (M9),,,Stolen goods,,,
Person search,2015-10-29T00:00:00+00:00,,,,,Male,25-34,Mixed - Any other Mixed ethnic background (M9),,,Stolen goods,,,
Person search,2015-10-29T00:00:00+00:00,,,,,Male,18-24,White - White British (W1),White,,Controlled drugs,,,
Person search,2015-10-29T00:00:00+00:00,,,,,Male,25-34,White - White British (W1),White,,Controlled drugs,,,
Person search,2015-10-29T00:00:00+00:00,,,,,Male,18-24,White - White British (W1),White,,Controlled drugs,,,
Person search,2015-10-30T00:00:00+00:00,,,,,Male,25-34,White - White British (W1),White,,,,,
Person search,2015-10-30T00:00:00+00:00,,,,,Male,10-17,White - Any other White ethnic background (W9),White,,Controlled drugs,,,
Person search,2015-10-30T00:00:00+00:00,,,,,Male,25-34,White - White British (W1),White,,Offensive weapons,,,
Person search,2015-10-30T00:00:00+00:00,,,,,Male,18-24,White - White British (W1),White,,Controlled drugs,,,
Person search,2015-10-30T00:00:00+00:00,,,,,Male,25-34,White - White British (W1),White,,Controlled drugs,,,
Person search,2015-10-30T00:00:00+00:00,,,,,Male,10-17,White - White British (W1),White,,Stolen goods,,,
Person search,2015-10-30T00:00:00+00:00,,,,,Male,over 34,White - White British (W1),White,,Stolen goods,,,
Person search,2015-10-30T00:00:00+00:00,,,,,Male,25-34,White - White British (W1),White,,Stolen goods,,,
Person search,2015-10-30T00:00:00+00:00,,,,,Male,over 34,White - White British (W1),White,,Stolen goods,,,
Person search,2015-10-30T00:00:00+00:00,,,,,Male,over 34,White - White British (W1),White,,Stolen goods,,,
Person search,2015-10-30T00:00:00+00:00,,,,,Male,18-24,White - White British (W1),White,,Controlled drugs,,,
Person search,2015-10-30T00:00:00+00:00,,,,,Female,10-17,White - White British (W1),White,,Controlled drugs,,,
Person search,2015-10-30T00:00:00+00:00,,,,,Male,18-24,White - White British (W1),White,,Controlled drugs,,,
Person search,2015-10-30T00:00:00+00:00,,,,,Male,25-34,White - Any other White ethnic background (W9),White,,Controlled drugs,,,
Person search,2015-10-31T00:00:00+00:00,,,,,Male,25-34,White - White British (W1),White,,Controlled drugs,,,
Person search,2015-10-31T00:00:00+00:00,,,,,Male,18-24,White - Any other White ethnic background (W9),White,,Controlled drugs,,,
Person search,2015-10-31T00:00:00+00:00,,,,,Male,25-34,White - White British (W1),White,,,Suspect arrested,,
Person search,2015-10-31T00:00:00+00:00,,,,,Male,18-24,White - White British (W1),White,,Controlled drugs,Suspect arrested,,
Person search,2015-10-31T00:00:00+00:00,,,,,Male,18-24,White - White British (W1),White,,Controlled drugs,,,
Person search,2015-10-31T00:00:00+00:00,,,,,Male,18-24,White - White British (W1),White,,Controlled drugs,,,
Person search,2015-10-31T00:00:00+00:00,,,,,Male,18-24,White - White British (W1),White,,Controlled drugs,,,
Person search,2015-10-31T00:00:00+00:00,,,,,Male,25-34,White - Any other White ethnic background (W9),White,,Controlled drugs,,,
Person search,2015-10-31T00:00:00+00:00,,,,,Male,10-17,White - White British (W1),White,,Controlled drugs,,,
Person search,2015-10-31T00:00:00+00:00,,,,,Male,10-17,White - White British (W1),White,,Controlled drugs,,,
Person search,2015-10-31T00:00:00+00:00,,,,,Male,25-34,White - White British (W1),White,,Controlled drugs,,,
Person search,2015-10-31T00:00:00+00:00,,,,,Male,10-17,Mixed - White and Black Caribbean (M1),Black,,Controlled drugs,Suspect arrested,,
Person search,2015-10-31T00:00:00+00:00,,,,,Male,10-17,White - White British (W1),White,,Controlled drugs,,,
